Country,Element,Item,Year,Unit,Value
Cambodia,Area harvested,Bananas,2007,ha,30000
Cambodia,Area harvested,Bananas,2008,ha,32000
Cambodia,Area harvested,Bananas,2009,ha,33000
Cambodia,Area harvested,Bananas,2010,ha,35002
Cambodia,Area harvested,Bananas,2011,ha,32574
Cambodia,Area harvested,Bananas,2012,ha,31844
Cambodia,Area harvested,Bananas,2013,ha,31757
Cambodia,Area harvested,Bananas,2014,ha,31741
Cambodia,Area harvested,Bananas,2015,ha,31786
Cambodia,Area harvested,Bananas,2016,ha,31875
Cambodia,Area harvested,Cassava,2007,ha,108000
Cambodia,Area harvested,Cassava,2008,ha,179945
Cambodia,Area harvested,Cassava,2009,ha,160326
Cambodia,Area harvested,Cassava,2010,ha,202303
Cambodia,Area harvested,Cassava,2011,ha,369518
Cambodia,Area harvested,Cassava,2012,ha,337065
Cambodia,Area harvested,Cassava,2013,ha,325832
Cambodia,Area harvested,Cassava,2014,ha,332937
Cambodia,Area harvested,Cassava,2015,ha,368532
Cambodia,Area harvested,Cassava,2016,ha,387636
Viet Nam,Area harvested,Bananas,2007,ha,95000
Viet Nam,Area harvested,Bananas,2008,ha,95000
Viet Nam,Area harvested,Bananas,2009,ha,98795
Viet Nam,Area harvested,Bananas,2010,ha,102604
Viet Nam,Area harvested,Bananas,2011,ha,106452
Viet Nam,Area harvested,Bananas,2012,ha,108549
Viet Nam,Area harvested,Bananas,2013,ha,112434
Viet Nam,Area harvested,Bananas,2014,ha,114437
Viet Nam,Area harvested,Bananas,2015,ha,118092
Viet Nam,Area harvested,Bananas,2016,ha,120041
Viet Nam,Area harvested,Cassava,2007,ha,495500
Viet Nam,Area harvested,Cassava,2008,ha,554000
Viet Nam,Area harvested,Cassava,2009,ha,507800
Viet Nam,Area harvested,Cassava,2010,ha,498000
Viet Nam,Area harvested,Cassava,2011,ha,558173
Viet Nam,Area harvested,Cassava,2012,ha,551771
Viet Nam,Area harvested,Cassava,2013,ha,544107
Viet Nam,Area harvested,Cassava,2014,ha,552760
Viet Nam,Area harvested,Cassava,2015,ha,567998
Viet Nam,Area harvested,Cassava,2016,ha,579898